img,mode,psnr,ssim,lpips,enl,epi
NH49E001013.tif_6_14.png,DDPM,17.827765667670196,0.38571436196776104,0.30450424551963806,0.9230378348379916,0.4848666090717626
NH49E001013.tif_7_17.png,DDPM,17.094839271357085,0.36049208924303183,0.31203290820121765,1.4057565121066256,0.4955940549079248
NH49E011024.tif_10_0.png,DDPM,18.78768220675723,0.3244500781687233,0.2113543301820755,0.7670806714401711,0.41037353463039794
NH49E011024.tif_11_4.png,DDPM,18.75814241907206,0.22985806466868525,0.27062663435935974,1.1688965081361682,0.47863062496310027
NH49E011024.tif_3_4.png,DDPM,18.187219302495397,0.27442528108597924,0.2509401738643646,0.9649007528926055,0.4903990609012821
NH49E011024.tif_3_5.png,DDPM,17.986705260207795,0.3186263114154962,0.27572306990623474,0.8398776409513321,0.4571715032238615
NH49E011024.tif_4_17.png,DDPM,15.972837519110026,0.2949131953683733,0.32701578736305237,2.4415982267801652,0.4408164255819348
NH49E011024.tif_9_6.png,DDPM,17.075592420025608,0.26699620340117025,0.32182905077934265,2.0075858101904025,0.4035510102706591
NH49E012009.tif_4_7.png,DDPM,18.13922622631418,0.37949975951661774,0.29722854495048523,1.2736773166846485,0.4965168850970294
NH50E010003.tif_1_12.png,DDPM,17.33267774073473,0.43977057717683316,0.26811158657073975,0.6990897750144832,0.4156826588128562
